grabacion,modelo,transcripcion,tiempo_procesamiento_seg
audio_cpbx06.vozelia.com.pa-1748869173.19935707,base," Hola buenos días. ¿Qué buenos días? Tengo el gusto con el señor Raúl. Y continuamos. La comodiana se arrogan a otra. Estaban mirando por acá que usted me puso buenos días, Vente. ¿Cómo le hicimos aquí? Y le hicimos que la invasas a que la invasas a la vez que estés en el día de hoy. ¿Qué si vendemos tan que de tica, Vente? Sí, este, vale bien. A le dín, es bueno, que se parcelas con vos. Ah, sí. ¿Y igual manera de que se casquen? La que voy a ver, es que es el calito pequeño. Ok, voy a asignar lo que es una oportunidad. Para una compañera que ve eso de tipo de tanques en el tirácie y todo lo que sea el tirácie. Entonces, ¿cómo le cano se con un ser? Bueno, sí, lo que quería decir es que no se donde construiría porque he perdido el tirácie. Ah, compre el bueno déjenme con que el dan por acá. ¿Enciende? Ah, sí. Muy buen día.",11.369691610336304
audio_cpbx06.vozelia.com.pa-1748869815.19945115,base," ¿A lo? Bueno, ya se van a ir a jugar. Sí, ¿Van a via? Tenía jugar en la mujer de parte de esto, ¿no? ¿Tras? Correyes de ella, ¿me? Me indica un compañero que interesa una nueva consistencia. Sí, en un poste. La Ocicor se compró una segunda y una mayor de lo por dos. Y una puerta con los respectivos force, pero como dicen, sí, corre el teopero, ¿no? Sí, yo lo restringé a teopía. La semana pasada, un día se tuvimos un parancia que hagan el área de trabajo y tuvimos que cambiar la parte de no se no hace falta un poste. Me diste muy un poste con tres gravas. Un poste. Un poste, sí, un poste de la cerca. Ok, va a que perfil va a ese. ¿Vas a eternismo perfil? Sí, corre, estudimos perfil. Y la condición va a nombre de Ocic Concert, que no lo vi. ¿Ocic? Es, Office Concert, que no lo vi. Y ese tiene la afartura y que lo pagaron para no mangar y lo requercan. Aca en un daño. Yo lo buco y apenas en cuanto al perfil, entonces le hago llegar la cosa. Sí, para que yo... Un poste y tres clip. Sí, corre esto. Tres clip, no, son los tres clip de postes. Y tres más. Ok, sería un 6. Son 6, soy correcto. Ya ahorita unos minutos, yo le busco la perfil anterior y le envío la cotización. ¿Cómo se hagas ya? Gracias, Honte.",15.316227674484251
audio_cpbx06.vozelia.com.pa-1748869967.19947341,base," ¿Qué tal, Nih? Hola, hoy día, hablamos de empezar a Toro Arra, la Vlaía y Vén, con el enganjuan. ¿Y la verdad? La España mandó por confirmar si el enganjuan y la verdad, le vinieron a la información sobre el cortador de Céste. Sí, perfecto. Y me lo he hecho. ¿Qué he interesado? ¿Qué he interesado si estaba con disanud? ¿Cuánto es que era? Pero sí, empezó a comprarlo pero en la pincena que viene. ¿Qué? ¿Qué? ¿Sería mitad de mes? Sí, pero yo no estaría cercando allá. ¿Qué? Me dijo que era en un guandía, ¿no? Aquí por Villalucre la de Panamá. Ah, Villalucrecia, ¿no? Sí, correcto. Y en la orden, ya no en día. Sí, pero... ¡Chao!",15.292096853256226
audio_cpbx06.vozelia.com.pa-1748869173.19935707,small," Hola, buenos días. Sí, buenos días. Tengo el gusto con el señor Raúl. Sí, con mi amigo. Señor Raúl, la comoriana Carrón, el otro día estaba mirando por acá que usted me puso buenos días, venden. Ah, correcto, sí, y leí que la pregunta es que la embajada me parece que sí, que sí, que sí. Que si vendemos tancas de tíapia. Sí, alivines, alivines. Alivines, bueno, es que esa parte las conozco. Ajá. De igual manera, ¿voy a... Sí, pues el pescadito pequeño. Ok, voy a asignar lo que es una oportunidad para una compañera que ve, que ve ese tipo de tanques de tíapia y todo lo que sea de tíapia, entonces ella va a estar comunicándose con usted. Ah, bueno, sí, lo que quería decir es que no sé dónde conseguir la tíapia, porque es pequeñita. Ajá, compré. Bueno, déjenme consultar por acá. Y yo les voy a decir. Ah, bien, bien, se dan. Buen día.",29.52978014945984
audio_cpbx06.vozelia.com.pa-1748869815.19945115,small," ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Qué? ¿Que? No puede ser. No puede ser. No wissen nada. No puedo ser. Ese fue el consideruero de si engine es la말 así. ¿Qué como lo supongo? De gatherer la pieza de po良 declar, y nosotros vamos a tener la segmentsaspberry, en valores glands pourra, el uniforme y la Se炆m, y soy Motorsport. concept, tenor y... Office? Es Office concept, tenor y... esa tiene las faturas y que lo pagaron en Panamá y lo requiere acá en... Ajá, acá en Galicia. Le busco y... y apenas encuentro el Barcelona, entonces le hago llegar la cosita. Sí, para que... Un botón y tres clips. Sí, correcto. Sí, no, son los tres clips de botes y tres más. Ok, sería un seis. Son seis, seis, correcto. Vale, ya ahorita tengo unos minutitos que vos les busco el... el perfil anterior y les envío la cotización. Muchas gracias. Gracias, Octen.",101.85252285003662
audio_cpbx06.vozelia.com.pa-1748869967.19947341,small," ¿Qué tal? Hola, bien día. Le hablamos de empresa Toro Rapp, la habla ahí de Alibens con el señor Juan. Sí, ¿qué hablás? Le estaba llamando para confirmar si el día viernes le brindaron la información sobre el cortador de este. Sí, perfecto. Me ayudó. Ok, por el momento no me parece... ¿Qué interesado? Qué interesado, sí, estaba cotizando. Quería saber cuántos que eran, pero sí, quiso comprarlo en la pincena que viene. Ok, ok. Sería a mitad de mes. Sí, pero yo no estaría acercando allá. Ok. Me dijo que eran Juan Díaz, ¿no? Aquí por Villalu, creé la de Panamá. Ah, Villalu creé, sí, a la pincel. Correcto. A la orden de hoy en día. Bueno, pero... Chao.",26.38833284378052
audio_cpbx06.vozelia.com.pa-1748869173.19935707,medium," Hola, buenos días. Sí, buenos días. Tengo el gusto con el señor Raúl. Sí, ¿con quién hablo? El señor Raúl habla con Oriana Cerroná de Trotrag. Estaba mirando por acá que usted me puso buenos días vende... Ah, correcto. Sí, sí, le hice la pregunta que la he pasado, me parece que sí, que vive eso. ¿Que si vendemos tanques de tilapia? Sí, alvines, alvines. Alvines, bueno, esa parte la conozco. Ajá. De igual manera... Pues, pescaditos pequeños. Ok, voy a asignar lo que es una oportunidad para una compañera que ve todo ese tipo de tanques de tilapia y todo lo que sea de tilapia. Entonces ella va a estar comunicándose con usted. Ah, bueno, sí, lo que quería decir es que no sé dónde construir... Quería decir, pequeñita. Ajá, comprendo. Bueno, déjenme consultar por acá y yo la seguiré. Ah, sí. Gracias. Tenga buen día.",82.20593810081482
audio_cpbx06.vozelia.com.pa-1748869815.19945115,medium," Aló. Hola, mi nombre es María Luz de Valdejar Juan. Sí, buena día. A señor Juan le hablamos de parte de todo, trae. Correcto, dígame. Me indica mi compañero que interesaba una nueva cotización. Sí, en un poste. La Oficon se compró una... Fue en 3 de mayo, de 2x2, y una puerta con los respectivos postes, pero... ¿De dos? Sí, correcto, pero nosotros... Eso lo retiré en estos días, la semana pasada. Entonces tuvimos un plan sacado en el área de trabajo y tuvimos que cambiar la parte, entonces nos hace falta un poste. Necesitamos un poste con tres grapas. ¿Un poste? Tres grapas, con el poste... sí, el poste de la cerca, pues. Ok. ¿Vas que perfil va ese? ¿Vas este mismo perfil? Sí, correcto, el mismo perfil. Y la cotización va a nombre de Office Concepts. Tengo 10. ¿Office? Office Concepts Technology. Y... Eso tiene la factura ahí que lo pagaron en Panamá y lo retiré acá en... acá en... Yo lo busco y... y apenas encuentra el perfil, entonces le hago llegar la cotización. Sí, para que... ¿Es un poste y tres clips? Sí, correcto. ¿Tres clips? No, son... Los tres clips de postes y tres más. Ok, ¿serían seis? Sí, son seis, seis, correcto. Vale. Ya ahorita en unos minutitos yo le busco el perfil anterior y le envío la cotización. Muchas gracias. Gracias a usted.",119.14031314849854
audio_cpbx06.vozelia.com.pa-1748869967.19947341,medium," Hola, bien. Hola, hoy en día le hablamos de empresa Toro Trap. Le hablé a Yari Benz con Daniel Juan. Sí, él me habló. Le estaba llamando para confirmar. Sí, el día viernes le brindaron la información sobre el portador de cestos. Sí, perfecto. Me llegó. Ok, por el momento no está en el texto. Y estoy interesado. Estoy interesado si estaba cotizando. Yo quería saber cuántos eran, pero sí pienso comprarlo en la pincera que viene. Ok, ok. Sería a mitad de mes. Sí, pero yo no estaría acercando allá. Ok. Me dijo que era en Juan Díaz, ¿no? Aquí por Villa Lucre, la de Panamá. Ah, Villa Lucre, sí. Sí, correcto. Listo. A la orden de Juan Díaz. Ok, adiós. Adiós.",77.12461924552917
audio_cpbx06.vozelia.com.pa-1748869173.19935707,large," Hola, buenos días. Sí, buenos días. Tengo el gusto con el señor Raúl. Sí, ¿con quién hablo? Señor Raúl, habla con Oriana Serrano de Trotrae. Estaba mirando por acá que usted me puso buenos días, venden a... Sí, leí la pregunta que me ha pasado me parece que sí, que sí, que sí. Que si vendemos tanques de tilapia. Sí, este, a Levine, a Levine. A Levine, bueno, esa parte la conozco. Ajá. De igual manera voy a... El pescadito pequeño. Ok, voy a asignar lo que es una oportunidad para una compañera que es la que ve ese tipo de tanques de tilapia y todo lo que sea de tilapia. Entonces ella va a estar comunicándose con usted. Ah, bueno, sí, lo que quería decir es que no sé dónde conseguí la cría pequeñita. Ajá. Ah, compré. Bueno, déjeme consultar por acá y yo la estoy haciendo. Ah, sí, gracias. Muchas gracias. Tenga buen día.",164.56063294410706
audio_cpbx06.vozelia.com.pa-1748869815.19945115,large," aló señor juan si, buenos días señor juan le hablamos de partes de perotrae correcto, dígame me indica mi compañero que está interesado en una nueva cotización si, en un poste la oficina se compró una, una, se compró en 3 mayo de 2x2 y una puerta con los respectivos postes pero, como hicimos un cambio si, correcto, pero nosotros eso yo lo recibí en estos días, la semana pasada entonces tuvimos un plan sacado en el área de trabajo y tuvimos que cambiar la puerta, entonces nos hace falta un poste necesitamos un poste con 3 grapas un poste 3 grapas con el poste de la cerca ok, va que perfil va ese va este mismo perfil si, correcto, el mismo perfil y la cotización va a nombre de office concept technology office office concept technology eso tiene la factura que lo pagaron en panamá y lo retiraron acá en yo lo busco y apenas encuentro el perfil entonces le hago llegar la cotización es un poste y 3 clips si, correcto 3 clips, no son los 3 clips de postes y 3 más ok, serían 6, son 6, correcto vale ya ahorita en unos minutitos yo le busco el perfil anterior y le envío la cotización muchas gracias gracias a usted",211.5581259727478
audio_cpbx06.vozelia.com.pa-1748869967.19947341,large, hola hola hoy en día le hablamos de empresa ToroTrap le hablé a Iber con el señor Juan si me habla le estaba llamando para confirmar si el día viernes le brindaron la la información sobre el portador de cestas si perfecto me llegó ok por el momento estoy interesado estoy interesado si estaba cotizando pero si intento comprarlo pero en la quincena que viene ok ok sería a mitad de mes si pero yo me estaría acercando allá ok me dijo que era en Juan Díaz aquí por Villa Lucre la de Panamá ah Villa Lucre correcto a la orden que tenga buen día pero no,131.98166823387146
audio_cpbx06.vozelia.com.pa-1748869173.19935707,openai_whisper_api,"hola buenos días y buenos días tengo el gusto con el señor raúl y con quien hablo señor raúl habla con oliana serrano de trotral, estaba mirando por acá que usted me puso buenos días venden correcto, si leí la pregunta, que la embajada me parece que si, que si venden mozancas de tilapia de igual manera voy a asignar lo que es una oportunidad para una compañera que es la que ve ese tipo de tanques de tilapia y todo lo que sea de tilapia, entonces ella va a estar comunicándose con usted ah bueno, si lo que quería conseguir es que no se donde conseguir la cría técnica aja comprendo, bueno déjeme consultar por acá y yo la explico a usted a bien, gracias serrano tenga buen día",4.298436880111694
audio_cpbx06.vozelia.com.pa-1748869815.19945115,openai_whisper_api,"Aló. Buenas tardes, me alude con el señor Juan. Sí, buenos días. Señor Juan, le hablamos de parte de Toro Track. Correcto, dígame. Me indica mi compañero que está interesado en una nueva cotización. Sí, en un poste. OxyCorp se compró una, que fueron tres mallas, de dos por dos, y una puerta con los respectivos postes, pero como hicimos un cambio... De dos por dos. Sí, correcto, pero nosotros... El señor nos recibió en estos días, la semana pasada. Sí. Bueno. Bueno. Bueno. Bueno. Bueno. Bueno. Bueno. Bueno. Bueno. Bueno. Entonces, tuvimos un pánico, en el área de trabajo, y tuvimos que cambiar la parte, entonces nos hace falta un poste. Necesitamos un poste con tres grapas. Un poste. Tres grapas con el poste, sí, del poste de la cerca, pues. Okay. ¿Pa' qué perfil va ese? ¿Va este el mismo perfil? Sí, correcto. Sí, correcto. ¿Qué es el nombre de Office Concepts? ¿Office? Office Concepts. Technology. Inc. Ese tiene la factura ahí que lo pagaron en Panamá y lo retiraron acá en... Ajá, pérate, yo lo busco y apenas encuentro el perfil, entonces le hago llegar la cosita. Sí, para que ellos... ¿Un poste y tres clips? Sí, correcto. ¿Tres clips? No, son... Los tres clips son los que... ¿Los tres clips? Sí, los tres clips son los que... ¿Los tres clips? Sí, los tres clips son los que... ¿Los tres clips son los que... ¿Los tres clips son los que... ¿Los tres clips son los que... ¿Los tres clips son los que... Y tres más. Ok. Serían seis. Son seis. Seis, correcto. Vele, ya ahorita en unos minutitos yo les busco el perfil anterior y les envío la cotización. Muchas gracias. Gracias a usted.",15.018638849258423
audio_cpbx06.vozelia.com.pa-1748869967.19947341,openai_whisper_api,"Hola, buen día. Hola, buen día. Le hablamos de empresa Torotrap, le hablé a Yari Benz con el señor Juan. Sí, le hablamos. Le estaba llamando para confirmar si el día viernes le brindaron la información sobre el portador de Fester. Sí, perfecto, me llegó. Estoy interesado. Estoy interesado, sí, estaba cotizando. Quería saber cuánto es que era, pero sí pienso comprarlo por la quincena que viene. Ok, ok. Sería mitad de mes. Sí, pero yo me estaría acercando allá. Me dijo que era en Juan Díaz. Aquí por Villalucre, la de Panamá. Ah, Villalucre. Sí, correcto. Listo. A la orden y a buen día. Ya, hasta luego. Chao.",44.697388648986816
